Date,CPI,Employment Level,Hourly Earnings,Hours Worked,Unemployment Rate,Weekly Income
2023-04-01,303.363,155387,33.42,34.4,3.4,1149.65
2023-05-01,304.127,155614,33.52,34.4,3.6,1153.09
2023-06-01,305.109,155871,33.69,34.4,3.6,1158.94
2023-07-01,305.691,156019,33.84,34.3,3.5,1160.71
2023-08-01,307.026,156176,33.89,34.4,3.7,1165.82
2023-09-01,307.789,156334,33.99,34.4,3.8,1169.26
2023-10-01,307.671,156520,34.07,34.3,3.9,1168.6
2023-11-01,307.051,156661,34.19,34.4,3.7,1176.14
2023-12-01,306.746,156930,34.31,34.4,3.8,1180.26
2024-01-01,308.417,157049,34.47,34.2,3.7,1178.87
2024-02-01,310.326,157271,34.54,34.3,3.9,1184.72
2024-03-01,312.332,157517,34.67,34.4,3.9,1192.65
2024-04-01,313.548,157635,34.75,34.2,3.9,1188.45
2024-05-01,314.069,157828,34.89,34.3,4.0,1196.73
2024-06-01,314.175,157915,35.0,34.3,4.1,1200.5
2024-07-01,314.54,158003,35.07,34.2,4.2,1199.39
2024-08-01,314.796,158074,35.23,34.3,4.2,1208.39
2024-09-01,315.301,158314,35.33,34.2,4.1,1208.29
2024-10-01,315.664,158358,35.48,34.3,4.1,1216.96
2024-11-01,315.493,158619,35.61,34.3,4.2,1221.42
2024-12-01,315.605,158942,35.68,34.2,4.1,1220.26
2025-01-01,317.671,159053,35.83,34.1,4.0,1221.8
2025-02-01,319.082,159155,35.9,34.2,4.1,1227.78
2025-03-01,319.799,159275,36.02,34.3,4.2,1235.49
2025-04-01,320.795,159433,36.08,34.3,4.2,1237.54
2025-05-01,321.465,159452,36.23,34.3,4.2,1242.69
2025-06-01,322.561,159439,36.31,34.2,4.1,1241.8
2025-07-01,323.048,159511,36.43,34.3,4.2,1249.55
2025-08-01,323.976,159507,36.58,34.2,4.3,1251.04
2025-09-01,324.800,159626,36.67,34.2,4.4,1254.11
